Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,21290586002.8823,537777811.111111,10404135069.15,,,,,,,,,,18606786874.23,6592693841.18495,,195999990,11658722590.99,226195579.35701,330442817.168859,4274893913.49536,,,169803921.568627,,,28071888.5622288,84466654.0769119,373879363.595386,17030465539.3906,,,,30412308.9864012,112155598.949571,40461721692.6468,,9522746719.21614,,4110000000,59716467625.3148,546203561.571989,614206071.002235,3359404117.64706,131731862.568997,4031152976.63904,,,507513829.994855,1880306125.08675,,,,,,,,,,672399700,2723593384.78054,81346966779.2948,157942583564354,154608964939107,,,2069465326.42335,,244832935017629,,12072126075397,,,,,5224102195.52771,112328422.113084,62225478000.8822,,,141468978.376811,73233967692.1028,,1217086834.73389,,,,,,4335186016.83942,,,1043599900,,170215248.206265,1069224286225.67,1320796651.69457,335650000,17360551605.5377,,273187200,,327204160846152,363569102995351,36900947649.9065,12063624831.5225,,25623664425.8411,,37029883876.1839,,1939329775.43739,4199134389.9037,1684121534.58415,248434096.968726,2598500000,40385288344.1911,699050678.98642,,44307342950.4,,791265458.818076,,637142865.714286,,12366563.6119699,3958190758.62419,,68335857321.8995,,,,,,84505840123.9436,,,,1409873949.57983,91051691348.1171,340510830935511,34579308.4138317,191871240299.82,,703925705.942958,,,,2037150716.33238,,,673081724.083139,,,13040000000,,327378981822732,,,,,,,,,,,,162956740.865183,1916241996.60264,583846188346724,,,449526872.562553,4196092258.15484,223854666.666667,12276734172.0828,5163271598.15702,508334413.965087,,5485854791.97096,1080909941032.12,,,3749265014.69971,537147100,2571908062.08791,7515886650.62035,,230496032.981216,,20936197437.5538,1691900000,,3193200404.37297,,,,1047801258708.4,,,,,119000024,47170699607.6397,,1307333333.33333,1003692374.56213,704756304.717104,,322009471.56704,,,180459936.776025,,31156661601.0104,,31167737396.6142,,,99650000,,,15822585033.5764,35076158.4768305,,12012012.012012,857704413.407821,,313582729.426485,81224996965.3876,,121128073.114022,2760747471.88624,,,79494964747.3546,,,,47170699607.6397,31167737396.6142,535670127.748935,,13983572895.2772,,,423008385.744235,,241948449207699,1242289239.20493,543300000000,,13066557.7786852,7779090909.09091,,,,,1392052952993.82,,,,8748596504.23581,713000000,1052990400
1961,,21808473824.6119,548888895.555556,11127894641.0191,,,,,,,,,,19683055213.3498,7311749633.36229,,202999992,12400145221595,235668222.429984,350247237.11684,4817580183.60155,,,190098039.215686,,,29964370.7125857,89249986.6972895,406684585.719294,17275940449.3837,,,,32902336.644746,123134584.467673,40934952063.9468,,10712712465.0522,,4609727272.72727,50056868957.6732,618245639.221382,652777613.643638,3086746857.14286,151675739.160627,4540447761.19403,,,490325181.614275,2038301741.01721,,,,,,,,,,654100200,2434727329809,71614404162.4674,158912671963007,155145333350026,,,1753850416.75551,,268965157140.85,,13834300571.4849,,,,,5921659485.03284,116987784.913739,67461644222.0352,,,167637908.489803,77741965703.3544,,1302521008.40336,,,,,,4961400439.31722,,,1076699900,,185848451.262906,1131820800485.88,1383681651.13776,356200000,17810256435.9833,,271066000,,313137738208206,352695168049247,38965513998.0786,12910165408.6876,,26855051989.6751,,39232435784.0358,,2088012282.35667,4426949094.8403,1831700364.04369,253885656.329253,3138500000,44842760293.1924,748028839.423211,,53508617739.3778,,792959472.139024,,642857134.285714,,12483229.3064224,2417558289.36656,,71544948483.8831,,,,,,89564538264.0449,,,,1444327731.09244,96427131270.4783,327573704284639,35699286.0142797,177782901812643,,704145671.350213,,,,2025689536.60705,,,699161943.864184,,,14160000000,,314173335222901,,,,584351384.464088,,,,,,159213140.004051,,174576508.469831,1901868548.28172,604324202050644,,,485785234.940376,4467200335.99328,240524723.428571,13493833739.9949,5632460936.54576,531959561.62226,,5670064168.21773,1136640692448.18,,,4118647627.04746,599026300,2899654840.37313,8171186334.65347,,244832035.032526,,21644539085.4343,1865100000,,3417516639.37596,,,,1107849647795.39,,,,,122000016,50331770780.7503,,1419333333.33333,1058975265.60578,764634783.744937,,327834680.557103,,,191659914.376034,,32412876758.2763,,32423376600.8132,,,107700000,,,17212686614.5726,43025199.4960101,,11592011.5920116,945244972.067039,,333975338.83416,71507027134.2315,,126396469.707058,3034043574.06071,,,84140069170.6004,,,,50331770780.7503,32423376600.8132,584961208.656595,,7988888888.88889,,,441524109.014675,,218362745027326,1547388781.43133,563300000000,,13999883.3343055,8189090909.09091,,,,,1448393308163.03,,,,9225996313.47639,696285714.285714,1096646600
1962,,23707015393.9183,546666677.777778,11943187848.3043,,,,,,24450604877.4934,,,,19922723709262,7756110210.11966,,213500006,13264015675.3193,236434906.75427,379567023.340308,5081413339.78635,,,212254901.960784,,,31856922.8615428,94149985.9669446,444665186.397102,19231747851.5332,,,,35643207.6265246,124482748.937917,42227447631.9159,,11879982758.5619,,5416272727.27273,47209359005.6057,645284344.684118,694247725.537204,3779841428.57143,166521239.863281,4955543963.36869,,,479180824.348506,2153895647.51084,,,,,,,,,,824100000,2001428328.37091,65396588241.2276,163742395743514,158361376318574,,,1518208221.23969,,298819018812336,,16138545209246,,,,,6340580854.39073,122906434.957814,75607529809.9288,,,182796536.497306,81247564156.8246,,1382352941.17647,,,,,9122751.45318345,5213047711.42704,,,1143600000,,194948375.430205,1221770864128.5,1612346412.26475,387750000,19383483570.0738,,281896800,,320917769739.02,364189977442032,41990402227.6439,13806052818.2338,,29060744250.1593,,42161481858.0819,,2260349684.08625,4693566416.48346,1954634836.18034,284916516.159537,2510000000,50383891898.9911,777712445.751085,,60723018683.7333,,868111400.014073,,660000008.571429,,12541562.1536487,2814318516.60968,,77784478750.3849,,,,,,98133168723.7676,,,,1434156378.60082,97978908295.9064,336199961706766,41859162.8167437,181100362913969,,741509480.796284,,,,2379606422.29029,,,739286906.85904,,,15200000000,,321013253494397,,,,612517344.756215,,,,,,164271590.835712,,183116337.673247,2001502678.6881,647421597617883,,,531736492.909178,4909302953.94092,265291588.666667,14647057370.1418,6066976682.67364,574091101.194382,,6077496267.76294,1226904817572.13,,,4310163796.72407,652120900,3286773187.87313,4954529277.07288,,261184037.372302,,23637172382.0778,2094400000,,3668222357.65702,,,,1196192393774.56,,,,,125000008,53721519493.6062,,1541666666.66667,1085475573.50828,826244609.95688,,342721579.817636,,,203531927.547229,,35070766313.5526,,35082238991.4745,,,116150000,,,18667251380.0746,45927061.4587708,,12642026.5718964,1110565880.75881,,357635713.871813,65298534066.4532,,132237441.630863,3308912796.93487,,,92113796428.2395,,,,53721519493.6062,35082238991.4745,619319197.340022,,8922222222.22222,,,449012578.616352,,223961235963475,1710004407.22785,605100000000,,14524878.959342,8946969696.9697,,,,,1550299476381.12,,,,9813996078.52345,693142857.142857,1117601600
1963,,28210036878.0973,751111191.111111,12676330764.6917,,,,,,18272123664.3994,,,,21539926083548,8374175257.73075,,232749998,14260017387.0492,253927646.475909,394040588.303477,5319458351.16235,,,237745098.039216,,,33749405.0118998,96366652.3032171,478805990.083307,23287712878.2002,,,,38091150.566196,129379097.888958,45029988561.2124,,13063643795.7884,,5668187500,50706799902.5104,761047045.830402,718320701.389784,6213185742.57426,172233430.871502,4836166666.66667,,,511902136.809973,2290313587.93533,,,,,,,,,,940799900,2702960118.28806,70843947165.4002,173711880145349,176700641541943,,,1824344492.08344,,335341706018757,,19074913947.7196,,,,,6885920328.66187,129454728.623599,84759195105.8693,,,154480244.244369,86561961812.3249,,1540616246.4986,,,,,10840095.1283649,5895278024.09202,,,1262800000,,175756868.692761,1316147609027.84,1935298266.45384,410200000,23386439657.7187,,294883400,,344262101177631,393260074757208,47190401379.0173,14611892061.8658,,33687637210.1439,,48421923459.1235,,2430843768.44553,4928628018.38759,1978437692.5231,340061650.119898,2992333333.33333,57710743059.8341,826690466.190676,,69498131797.3333,,926589348.572953,,728571437.142857,,12833226.3897801,3988784572.24835,,78360336748.5897,,,,,,100055914613,,,,1240672268.90756,109077850457219,363552429876238,47039059.2188156,198228865304905,,791140595.772755,,,,2657247327.3392,,,759345862.979021,,,16960000000,,344193246943035,,,,659976659.599529,,,,,,168186331.270673,,190816183.676326,2510126747.68065,683726355213516,,,586294761.493516,5165489010.2198,292916241.142857,15891241386291,6510239502.76489,496947904.443033,,6638937283.13963,1322445467392.22,,,4630827383.45233,722784500,3600957771.15672,5505055617.58388,,275968039.487715,,27546878887.8806,2333600000,,3905734459.72693,,,,1288516133262.58,,,,,128000000,60426255394.9631,,1568333333.33333,1122139637.2651,917614007.578727,,348546952.134368,,,216145935.941626,,40093962243.0422,,40106482678.3006,,,125950000,,,20204870629.7441,54128377.4324513,,13923029.2643975,1200447408.37696,,371767002.650081,70737725343.0714,,143255784.510751,3540403456.55305,,,93696328125.1006,,,,60426255394.9631,40106482678.3006,678235373.038558,,10355555555.5556,,,516147798.742138,,234968339788623,1539681490.78174,638600000000,,13708219.0981742,9753333333.33333,,,,,1671346856960.1,,,,10854195662.8805,718714285.714286,1159511700
1964,,26118787467.4775,800000044.444444,13838369295.2313,,,,,,25605249381.7597,,,,23801097547.3177,9169983885.71185,,260750008,15960106680.6732,269818988.259263,410321618.17137,5386054619.34987,,,266666666.666667,,,36193826.1234775,107566650.633857,539491477.320156,20963733694.9749,,,,41613969.0506064,142025069.461676,49377522896703,,14480556571.5476,,5982347826.08696,59708343488.5043,921063266.445521,776650126.190072,2881545272.72727,185693724.845331,5973366666.66667,,,542578367.242598,2470264539.67792,,,,,,,,,,1025599900,2909292864.23204,81762813021.2733,198974976220178,202680341549209,,,2244146867.90615,,373024086802.03,,21343844643.7341,,,,,7766655085.78588,140032741.468329,94007851047.3678,,,215679855.271673,94407558351.1616,,1731092436.97479,,,,,12712471.3960211,6669673257.1183,,,1299099900,,194773376.888526,1436599732483.84,2206466461.26434,457000000,20892307285.7156,,325281200,,389544157511.33,436185757647374,46072882466.0251,15945493755.7862,,30979451540.8342,,56480289940.9899,,2766608945.87402,5379845647.70139,2340521142.5371,434267936.914583,3405333333.33333,63175417019.0094,897931401.371973,,81749006381.5111,,998759333.643326,,782857128.571429,,13416554.8620428,3458939357.73377,,89861395780.7576,,,,,,110927451702946,,,,1309747899.15966,122476594969115,407203424264165,51938961.2207756,217638283202081,,903158753.943622,,,,2798339768.79755,,,802482182.93232,,,20080000000,,391811479359991,,,,475197381.868256,,,,,,224495789.256207,,194736105.277894,2674441395.53116,735285089547337,,,582816358.347155,5552822483.55033,341973758.857143,18699380731.3465,7159202706.48027,496098775.308642,,7274144350.81809,1445364682391.14,,,5204955900.88198,776137500,4356913870.14925,5953766853.70844,,305312043.68649,,25661288233.4324,2570500000,,4235608177.67102,,,,1405793363020.44,,,,,129999994,69179494304.2822,,1611333333.33333,1188930567.7084,894159153.273226,,371848114.747956,,,229529912.668035,,39363270640315,,39377500625.5759,,,134400000,,,22532416750.0125,64979280.4143917,,15393032.3541529,1339494267.01571,,392247517.600415,81640219696.8561,,166104067.630043,3889129942.30769,,,103890605551447,,,,69179494304.2822,39377500625.5759,711893367.55527,,11177777777.7778,,,589056603.773585,,269647164409697,1975701816.46615,685800000000,,14758210.3482471,8099318181.81818,,,,,1829998519951.39,,,,11955995222.6234,839428571.428571,1217138000
1965,,29682172751.4667,1006666637.77778,14862225759.9135,,,,,,28344705966.5801,,,,25977153096.6514,9994070615.85997,,158994962.962963,17371457607.9374,289908720.648622,422916848.424208,5906636557.00092,,,300392156.862745,,,40069930.0699301,114339048.965166,604377104.377104,22465522884.0988,,114040245.655299,,45790869.7473126,150574816.300764,54515179580.7148,,15346741669.7575,,6026593750,70436266146.7219,919771356.426097,814083378.458171,4043901818.18182,198318063.860835,5760761904.7619,,,592981162.264151,2660946063.37404,,,,,,,,,,888100000,3136258896.9233,95180596557.2096,215522749953109,225584335410774,,,2387048255.45173,4948667540.41066,407740494856.14,,24756958694.9238,,,,,8589340019.02985,147084750.031482,101537248148427,,,226474285.58499,101824755078991,,2053221288.51541,,,,,64748333.3333333,7689154053.35866,,,1331399900,,213235294.117647,1560087191224.76,2435078534.03141,508650000,24400739742.0037,,353251800,,427559386319374,480228173056845,51787666939.7592,17314118925157,,35515012763.0278,,59554854575.8085,,2945704142.99765,6197319929.04038,,523694949.370689,3663333333.33333,67978153850.5191,972140557.188856,599831979.837581,90950278257.7778,,997919319.980049,,868571428.571429,,13593932.3220537,3120833333.33333,2097451694.2033,97441124532.4728,,,,,,119245935972356,,,,1698319327.73109,132042678170467,450283206433341,54878902.4219516,244568685176379,,921600736.304026,,,,2948325264.30195,,,833563472.170794,,,21840000000,,432030821558212,,,,402619413.648984,23810561532.2858,,,,,255340526.737952,,229455410.891782,2956356984.18921,798329518629.68,,159594492.305421,673383604.238783,5874422511.54977,566542872.357143,21000586933.2041,8058681060159,735267082.294264,,5654463586.00366,1568735247631.06,63287594.5113414,,5929231415.37169,852485300,5166861068.28358,6517304758.00675,,344159480.344943,,28922529606.1696,2881500000,,4687464054.83455,443587301.587302,,,1527363536418.98,176534588.228022,,,,148799980,74296512695.0863,,1679333333.33333,1210058396.05584,974650463.870378,,359379856.248057,877720000,,243724533.172801,,43812989078.0284,,43827107647.9386,,,154150000,,,24795499685775,70278594.4281114,,15603032.7955465,1329842434.55497,,416926302.959596,95037884909.6917,,187300336.365369,4388937649.03846,,,111547757737268,,23598030672.0572,,74296512695.0863,43827107647.9386,736568861.926151,991047619.047619,11966666666.6667,,,884873949.579832,,301236909440404,1890769326.14221,743700000000,,15108207.4316047,8427777777.77778,,,,,1993586721619.37,,,,13068994777.8911,1082857142.85714,1311435800
1966,,32239121547.1534,1399999966.66667,15832591204.0611,,,,,,28630474727.8546,,,,27309889125322,10887682273.1014,,165444571.428571,18651883472.4808,302925280.773564,433889831.584706,6439687598.32325,,,340000000,,,44405594.4055944,134173373.785653,669191919.191919,28283323733.1114,,132758395.400497,,51464435.1464435,157930041.875883,61088384036.6515,,16480058704.8531,,7072641025.64103,76720285969.6157,1024103034.29198,851112662.733069,4532660181.81818,220613582.369827,5428518518.51852,,,647305630.188679,2888647977.98333,,,,,,,,,11931739858.7046,983900000,3039834558.74906,104077460764.11,212813847831582,252065874325836,,739424183997106,2429309513.80854,5278005611.91453,444882672260909,,28721062242.1634,,,,,9208524504.87684,150603925.515853,110045852177928,,,245849781.713541,108572752102045,,2126050420.16807,,,44212353.6988296,,69110000,8591517943.60129,,,1390700000,,228705882.352941,1711422184660.74,2489845016.64894,549950000,26571468986.9211,,368948600,,441410689054872,499017224935804,56196736130.4314,18833569941.5532,,38487064043.0196,,45865462034.2857,,3104034393.23162,6789938671.75094,,628893310.399926,3980000000,73654870011.2757,1096738065.2387,658078969.476337,105628070343111,,1164519673.19763,,914285714.285714,,14469078.1796966,3928908380.62947,2391486978.43741,107721559393577,,,,,,131287867479739,,,,1751470588.23529,121144755265215,466959405732092,56698866.0226795,272430223906184,,968440149.470951,,,,2876395613.08171,,,900264583.697323,,,24320000000,,446883331367872,,,,317816209.973753,24818595393.2831,,,,,266533659.152642,,260394792.104158,3143538481.64119,876222557410438,,164206536.282355,702296184.361344,6366792664.14672,606671444,22867203317.4022,8696460205.3397,906811943.824649,,5863733230.97616,1721759906507.8,67768132.1758611,,6561108777.82444,928833000,6113607727.98507,7189017887.69231,,390973233.284802,,31767088061.7713,3170500000,,5135387845.97108,465888888.888889,,,1675309274504.96,215659453.337117,,,,124525702.857143,62475116958.6619,,1723000000,1246908373.75203,1096432771.46217,,375479849.80806,929520000,,257374455.753265,,47256836611.0714,,47271630525.2629,,,190350000,,,26971486546.2848,76858462.8307434,,16443034.5611211,1321204502.6178,,432794922.455607,103921409358337,,216136263.912497,5279230817.30769,,,122805003949901,,24597066916.4579,,62475116958.6619,47271630525.2629,723735635.536371,1040952380.95238,14100000000,,,925770308.123249,,332801421964649,1809183974.52669,815000000000,,16099865.8344514,8781333333.33333,,,,,2163554603422.97,,,,14211394321.4111,1264285714.28571,1281749500
1967,,33514552047.4493,1673333417.77778,14426038229.7748,,,,,,24256667553.2569,,,,30444618658.3044,11579431668.9165,,178297142.857143,19992040788.4593,306222000.407316,450753993.176448,7253575399.3215,,,390196078.431373,,,47379310.3448276,155102984.627334,755808080.808081,31086389194961,,139030445.576898,,58646443.5146444,163820538.867947,65668655501.1254,,17740013179.26,,7013196078.43137,72881631326.6715,1082922892.15202,936175404.642829,3384063371.75792,237397428.336429,5825170438.48704,,,699456618.867925,3102515476.18752,,,,,,,,,13059064374.6287,1034800000,3370843065.76735,101006790832103,223658650109687,273138630805906,,796313419467256,2553596091.82258,5605484298.98275,483418521497102,,31647119228.1982,,,,,9368954010.3132,162625885.863484,118972977486207,,,271543680.280699,113116888210787,,1746806039.48897,,,46695363.1558873,,72317446.9327193,9275600800.35644,,,1453500000,,250176470.588235,1836211863666.78,2692474989.12571,598100000,26028372497.7338,,369124200,,453275726754822,511165786375835,56638998162.6866,18930348689.1235,5667756644.9716,38848376073.9882,,50134942204,,3343636773.36759,7555383690.16,,621225962.154708,4030000000,81133120065.4202,1148025407.34604,631755810.697284,123781880217.6,,1232559505.92359,,962857134.285714,,16742338.2519864,4855907141.80098,2441893027.16326,109608801713529,,,,,,133958293745314,,19741653042.3432,,1859465020.57613,129448724594552,478503156192343,59260814.7837043,273832616723794,,974721762.535327,,,,3046339294.53611,,,956436931.152034,,,26560000000,,458927285619457,,275494477.81984,,328182434.544961,26868450259.3187,,,,,282615367.46074,,269814968.240817,3188945511.56409,927523758485753,,180036767.470358,665586975.088302,5203135937.28125,657171436.714286,25087562181.3218,9514496703.39762,841974025.462659,,5961418093.53003,1848298487630.48,107152720.243027,,7464510709.7858,1034376400,6204253758.60927,7724873935.12821,,441706910.068317,,29993847987.5744,3532700000,,5740241165.63433,492674603.174603,,,1798413414866.59,220984367.407479,,,,159560018,68733357253.6191,,1865666666.66667,1246480958.52495,1238043904.35123,25203524.0325638,348795303.000385,976200000,,271780364.837811,,46951980155.1753,,46967009988.1703,,,220700000,,,29275995674.6888,74758504.8299034,,16632032.8140183,1443717801.04712,,449826322.997449,100855343519819,,231706475.464114,5638461442.30769,,,124961669476775,,26628624968.3914,,68733357253.6191,46967009988.1703,761981474.023359,1085714285.71429,15644444444.4444,,,967647058.823529,,334847960697427,1597721080.00991,861700000000,,15835177.9329133,9250000000,,,,,2302168217686.52,,,,15821393678.0875,1368000000,1397002000
1968,,36521482936948,1373333366.66667,14880349280.3199,,,,35019874408.0534,,26436857247.4696,,,,32716989584.4999,12440625312.8685,,183200000,21376353113475,326323097.355964,460442678.217048,7483685473.51275,,,444901960.784314,,,44910179.6407186,150000000,857912457.912458,33930457425.2613,,160819286.554292,,66248256.6248257,191767436.956884,71829810519.8955,,18942729779.1,,7167086956.52174,70846535055.6503,1281281245.67032,1046191192.44383,3909780538.92216,251247458.012189,5960212869.12968,,,773841494.339623,3083590686.77636,,,,,,,,,13505573866.6667,1079100000,3852115816.97758,102278982872896,242317845044991,301156064856063,,832994162706443,2582180794.1855,5932242990.65421,518991584973929,,31475548481.4095,,,,40329060337.2486,8823033880.32993,166952937.135005,129785441507456,,,294468564.530742,107759910067889,,1666910166289,,,41160658.5705371,,67514285.7142857,10090675902.5364,,,1610500000,,229750000,1991235599219.92,2716964388.42418,646800000,27543450553.6088,,367968800,,478542589006516,539542428695301,59696266506.1469,19982308074.9109,7076465295.27356,40911444169.8852,,53085455870.6667,,3278584478.33023,8623172959.89803,2896947633.71605,474399471.622359,4619000000,87942231678.3505,1083883355.33421,561187342.481098,146601072685511,,1353295457.5261,,1065714248.57143,,14600000,6119284294.23459,2663119574.34892,117918086391022,,,,,,143783099604486,,20897885536.0615,,1801344537.81513,139451065466123,505183751289022,61444771.1045779,278694342633003,,1066447130.82052,,,,3271415867.99723,,,1031669636.37161,,44425424089.7057,29360000000,,484458269063392,,343771973.331357,,531186357.405981,29559954296.3693,,,,,311396000.315982,,245169806.792272,3330393309.81315,1014479810519.9,,215507162.355259,641214210.668969,5200895982.08036,695899980.428571,27817605743.2503,10159934136.7838,772228643.405428,,5180597620.64135,2004941814318.39,188864890.808735,,8041999160.0168,1112791100,5736083835.14212,8632749269.48718,,485160824.280435,,31613474851.4749,3941700000,,6354262628.33537,517650793.650794,,,1950698885771.2,259590074.270556,,,,172200018,72039818016.5526,4187777711.11111,1947333333.33333,1309384830.18783,1425715405.72325,28084252.7582748,329860091.944037,1009760100,,286718279.690322,,50256117039.0415,,50270276288.3959,,,241350000,,,31066819929.2853,79798404.0319194,,16074027.3496039,1562303429.31937,,453980096.648819,102125628064456,,241956910.658103,6081009427.88461,,,133950534249942,,29296104890.4488,,72039818016.5526,50270276288.3959,758899950,1214666666.66667,17500000000,,,1037815126.05042,,349437468512.26,1593675330.16467,942500000000,,15350000,10034444444.4444,,,,,2484824098408.08,,,,17124793157.2752,1605857142.85714,1479599900
1969,,41828336212.6461,1408888922.22222,16882092549.4749,,,,38163151812.5519,,31256284543.5869,,,,36686079068.2047,13582798556.2404,,190205714.285714,23710735894.7022,330748211.459737,478298597.556707,8471006100.95399,,,528137254.901961,,,47305389.2215569,164900000,929629629.62963,37171640818.5863,,161211289.690318,,77356914.0788191,188039191.323608,79148411661.6902,,20524886616.4789,,8377093023.25581,79705906247.4612,1361360157.26999,1100551378.55506,5032434970.05988,265040036.059116,6450175213.74923,,,853630203.773585,3359706536.46451,,,,,,,,,15414902266.6667,1230500000,4257218772.15369,114795820879998,270383006184382,346805505111574,,921346210842913,3112166848.3004,6524455205.81114,579332792192932,,36038711599541,,,,44964941022.8794,10070766720.5011,182182067.703568,141903068680309,,,318124701.050461,116464702803218,,1962051319.26134,,,45168722.6995632,,67225714.2857143,11615657031.2387,,,1715399900,,249300000,2190768574307.91,3189740055.13982,668000050,30606053416.5595,,391820400,,534168081666444,602712989620137,67025857066506,22860635435.9025,8337423312.88344,45456705997.2275,,58447995017.3333,,3787077343.72783,9743089607.49587,3008120974.51694,414709311.35296,5329333333.33333,97085082807.3751,1191287651.50606,698963875.66508,172204199480889,,1458379415.40278,,978873232.394366,,15850000,7678581343.69794,2769532343.88127,132105648957336,,,,,,160653768104859,,23878188052.3458,,1965546218.48739,154870279794827,564900120512342,65966680.6663867,310796925108656,,1234878980502,,,,3651615453.01848,,,1056391054.5386,,49164893255.2329,32480000000,,541194915414.76,,339913866.633523,,551379225.912926,32796053519.9176,,,,,295062138.074299,,265810632.425297,3664575983.27453,1099213311661.69,,263108841.079319,625867922.677513,6634187316.25367,747971449.571429,34035946604.1815,11063065083.4888,788641965.432099,,5761588761.69421,2205472899493.23,239980801.535877,,8683116337.67325,1221305700,6420909789.66408,9571800652.5641,,551237316.608803,,35804457932.5808,4460700000,,6969025825.62868,556293650.793651,,,2144880697067.69,242943782.903497,,,,188700037,79195490145.7585,4485777644.44444,2144333333.33333,1245234806.88997,1659904612.57023,28606411.398041,408690163.476065,1049400000,,306357284.571429,,57386909930.49,,57400955518.5357,,,259650000,,,33738102482.1558,105417891.642167,,16452027.9927637,1796596910.99476,,471635620.926608,114623698605937,,267732446.378413,6695336567.30769,,,149579912025868,,32503318992.9624,,79195490145.7585,57400955518.5357,779200000,1289904761.90476,19466666666.6667,,,1169047619.04762,,391660303662384,2004435483.87097,1019900000000,,16650000,10285111111.1111,,,,,2740742548050.11,,,,19256992305291,1965714285.71429,1747998800
